pref_name,pref_name_en,latitude,longitude,area_name_en,area_name_jp
北海道,hokkaido,43.064359,141.347449,hokkaidoutouhoku,北海道東北
青森県,aomori,40.824294,140.740054,hokkaidoutouhoku,北海道東北
岩手県,iwate,39.70353,141.152667,hokkaidoutouhoku,北海道東北
宮城県,miyagi,38.268737,140.872183,hokkaidoutouhoku,北海道東北
秋田県,akita,39.718175,140.103356,hokkaidoutouhoku,北海道東北
山形県,yamagata,38.240127,140.362533,hokkaidoutouhoku,北海道東北
福島県,fukushima,37.750146,140.466754,hokkaidoutouhoku,北海道東北
茨城県,ibaraki,36.341817,140.446796,kitakantou,北関東
栃木県,tochigi,36.56575,139.883526,kitakantou,北関東
群馬県,gunma,36.391205,139.060917,kitakantou,北関東
埼玉県,saitama,35.857771,139.647804,minamikantou,南関東
千葉県,chiba,35.604563,140.123179,minamikantou,南関東
東京都,tokyo,35.689185,139.691648,minamikantou,南関東
神奈川県,kanagawa,35.447505,139.642347,minamikantou,南関東
新潟県,niigata,37.901699,139.022728,hokurikukoushinetsu,北陸・甲信越
富山県,toyama,36.695274,137.211302,hokurikukoushinetsu,北陸・甲信越
石川県,ishikawa,36.594729,136.62555,hokurikukoushinetsu,北陸・甲信越
福井県,fukui,36.06522,136.221641,hokurikukoushinetsu,北陸・甲信越
山梨県,yamanashi,35.665102,138.568985,hokurikukoushinetsu,北陸・甲信越
長野県,nagano,36.651282,138.180972,hokurikukoushinetsu,北陸・甲信越
岐阜県,gifu,35.39116,136.722204,toukai,東海
静岡県,shizuoka,34.976987,138.383057,toukai,東海
愛知県,aichi,35.180247,136.906698,toukai,東海
三重県,mie,34.730547,136.50861,toukai,東海
滋賀県,shiga,35.004532,135.868588,kansai,関西
京都府,kyoto,35.0209962,135.7531135,kansai,関西
大阪府,osaka,34.686492,135.518992,kansai,関西
兵庫県,hyogo,34.69128,135.183087,kansai,関西
奈良県,nara,34.685296,135.832745,kansai,関西
和歌山県,wakayama,34.224806,135.16795,kansai,関西
鳥取県,tottori,35.503463,134.238258,chugokushikoku,中国四国
島根県,shimane,35.472248,133.05083,chugokushikoku,中国四国
岡山県,okayama,34.66132,133.934414,chugokushikoku,中国四国
広島県,hiroshima,34.396033,132.459595,chugokushikoku,中国四国
徳島県,tokushima,34.065732,134.559293,chugokushikoku,中国四国
香川県,kagawa,34.34014,134.04297,chugokushikoku,中国四国
愛媛県,ehime,33.841649,132.76585,chugokushikoku,中国四国
高知県,kochi,33.55969,133.530887,chugokushikoku,中国四国
山口県,yamaguchi,34.185648,131.470755,kyushu,九州
福岡県,fukuoka,33.606767,130.418228,kyushu,九州
佐賀県,saga,33.249367,130.298822,kyushu,九州
長崎県,nagasaki,32.744542,129.873037,kyushu,九州
熊本県,kumamoto,32.790385,130.742345,kyushu,九州
大分県,oita,33.2382,131.612674,kyushu,九州
宮崎県,miyazaki,31.91109,131.423855,kyushu,九州
鹿児島県,kagoshima,31.560219,130.557906,kyushu,九州
沖縄県,okinawa,26.211538,127.681115,kyushu,九州